customer_id,customer_name,customer_email,customer_join_date,product_id,product_name,product_category,product_price,order_id,order_date,order_quantity,order_total
00b4dd52-2e04-4d58-80bd-fdb8e0b63c6e,Jason Brown,daniellewilson@example.net,2020-07-08 04:57:44,42f5a305-f9ba-4daa-bf84-66ff487404f9,External Hard Drive,Peripherals,128,a92b0353-a064-491f-87a4-22fa5484f840,2024-08-27 16:51:18,3,384
6c437811-1a00-4207-a55a-cb6f93076323,David Sandoval,kgriffin@example.com,2020-03-19 09:37:53,5d925294-5b72-484e-a0d7-b2127ade8b60,Monitor,Audio,335,61eff311-c912-4a25-8d3d-bae32e0d9c09,2023-12-09 21:32:11,2,670
8b9e7b50-c3a4-4285-8d52-f02797be769f,Maria Galloway,annahamilton@example.org,2024-03-15 07:50:55,d8f4aee1-68a6-4f12-ace3-1ec207e9a530,USB Flash Drive,Wearables,499,76aeb577-2be6-417a-bffb-d3cedd60c41a,2025-02-18 10:47:50,3,1497
17cb0f89-361e-4997-b4ad-aa03e09db0ba,Brian Maxwell,christine35@example.org,2020-09-15 00:57:13,2f82bd7c-8404-4068-a940-6944ce8dd84c,Gaming Console,Photography,1418,5a5150a6-43ae-42ce-90aa-955be0198532,2024-07-23 02:40:07,3,4254
d100b560-7336-426c-964c-d5b6f0d1c3f0,Michele Mathis MD,gdudley@example.org,2022-10-13 12:07:12,7c576f32-db24-4586-825b-17e909a1b3b9,Smartphone,Electronics,434,e7bbdb5f-1314-40ae-8ce5-740b0a7ff59d,2023-12-03 16:13:27,1,434
b2669995-b0d0-471c-a47d-1a0a755aba92,Amy Dunn,allison33@example.net,2024-09-30 08:36:26,c1ebc413-3be4-43c9-8369-be7b4b8ec195,Fitness Tracker,Accessories,190,4c48bf20-b520-4a30-8ffd-29eba42a3902,2025-02-07 10:22:43,5,950
ab8454d2-63dc-405b-82b0-0a5fbf3bc2ed,Sheri Drake,lvalencia@example.net,2021-01-06 03:55:21,f9309ebe-ab43-4af6-92df-f3615d7a4b92,Scanner,Peripherals,1683,572f0dd1-1960-4122-8611-a7a7541acebf,2024-02-15 19:24:34,1,1683
ded35ff4-5f5f-4946-80df-52f3459d54cf,Todd Young,arianabennett@example.com,2022-12-16 03:26:47,a66b90cb-689d-42b0-85a6-9c273beb2494,Charger,Networking,702,e16967e4-e2c9-4b30-848e-f7085a9beece,2024-05-03 21:12:38,5,3510
7cc164f2-673a-4ee5-b38d-ecff4b703832,Alexander Poole,bmooney@example.net,2021-03-16 12:01:46,d103bbd0-3441-4132-91f0-b8441122df4a,Smartphone,Networking,488,61f19963-54e5-43b1-b5fc-939dc8a251fa,2022-01-31 04:05:02,3,1464
848d7437-788d-45e7-9c3d-03150b7ca4ca,Laura Goodwin,adam32@example.net,2021-02-12 23:27:20,0ebba55d-8a42-4d3e-bea6-0d08bad7a59e,USB Flash Drive,Accessories,331,82bcbcb4-c47a-46f9-8859-db4c738bdb83,2021-07-24 15:42:13,1,331
